ProfileID	SectionID	VariantOrder	VariantTileType	ClusterCount	MinWidth	MaxWidth	MinHeight	MaxHeight	FillRatio
Default	Surface	0	Dirt	7	3	9	3	8	0.75
Default	Soil	0	Ground	5	3	8	3	7	0.7
Default	Soil	1	Stone	7	3	10	3	9	0.75
Default	Rock	0	Ground	3	3	6	3	6	0.65
Default	Rock	1	Dirt	5	3	8	3	8	0.7
Default	Rock	2	DeepStone	6	3	10	3	9	0.75
Default	Deep	0	Ground	2	3	5	3	5	0.65
Default	Deep	1	Dirt	4	3	7	3	7	0.7
Default	Deep	2	Stone	6	3	9	3	8	0.75
CollapseTest	TestSurface	0	Dirt	4	3	7	3	6	0.75
CollapseTest	TestSoil	0	Ground	3	3	6	3	5	0.7
CollapseTest	TestSoil	1	Stone	4	3	7	3	6	0.75
CollapseTest	TestRock	0	Ground	2	3	5	3	5	0.65
CollapseTest	TestRock	1	Dirt	3	3	6	3	5	0.7
CollapseTest	TestRock	2	DeepStone	4	3	7	3	6	0.75
CollapseTest	TestDeep	0	Ground	1	3	4	3	4	0.65
CollapseTest	TestDeep	1	Dirt	2	3	5	3	5	0.7
CollapseTest	TestDeep	2	Stone	3	3	6	3	5	0.75
